"participant_number","text_number","total_time","words_per_sec","total_fixations","fixations_per_word","fixations_per_row","fixation_duration_avg","regressive_saccades_percentage","progressive_saccade_value_avg","progressive_saccade_value_variance"
"P16",1,21.5745,1.8077,73,1.8718,15,258.5712,17.7419,4.1475,0.4202
"P16",2,45.4815,1.4292,140,2.1538,20,283.5621,20.5128,3.6522,0.4299
"P16",3,24.9401,1.4435,79,2.1944,18.25,279.8494,19.0476,4.0904,0.3947
"P16",4,30.1381,1.4931,92,2.0444,18.25,296.6283,16.6667,3.1752,0.3959
"P16",5,39.0509,1.2804,114,2.28,20.2,304.8404,14.8936,3.421,0.407
"P16",6,36.2018,1.4916,103,1.9074,15.4,307.165,22.7848,4.0725,0.4916
"P16",7,27.772,1.6563,82,1.7826,16,301.3012,15.873,3.8725,0.4765
"P17",1,11.1206,3.507,46,1.1795,9.25,186.8717,30.5556,5.902,0.4296
"P17",2,18.5924,3.4961,78,1.2,11.1429,189.0385,37.0968,5.5656,0.4461
"P17",3,8.8314,4.0764,42,1.1667,9.5,156.281,30,4.9733,0.4165
"P17",4,11.6956,3.8476,51,1.1333,8.5,178.0255,30.9524,5.7824,0.3669
"P17",5,10.7957,4.6315,48,0.96,8.6,175.5958,31.4286,5.325,0.3931
"P17",6,9.9293,5.4384,44,0.8148,7.4,168.1409,17.1429,4.9952,0.4114
"P17",7,10.779,4.2676,44,0.9565,8.2,193.8773,21.2121,5.9738,0.4092
"P18",1,19.7421,1.9755,60,1.5385,12.75,230.8833,19.4444,4.0338,0.5178
"P18",2,34.8858,1.8632,101,1.5538,14.4286,249.903,29.5775,4.1738,0.4952
"P18",3,24.2404,1.4851,68,1.8889,15.5,257.9735,30.9524,4.7859,0.419
"P18",4,29.4047,1.5304,82,1.8222,18.75,242.7707,18.8679,3.8198,0.4281
"P18",5,28.6884,1.7429,90,1.8,16.8,219.7267,26.9841,4.144,0.4798
"P18",6,25.4399,2.1226,72,1.3333,13,224.6917,12.1951,3.6903,0.4651
"P19",1,15.6438,2.493,47,1.2051,10.25,261.6085,21.6216,5.3059,0.385
"P19",2,29.1049,2.2333,86,1.3231,12.2857,256.8651,21.7391,4.8515,0.3727
"P19",3,14.9775,2.4036,44,1.2222,10.5,266.9364,22.8571,5.4944,0.4173
"P19",4,22.341,2.0142,63,1.4,13.75,273.7079,22.7273,4.3738,0.4361
"P19",5,18.6426,2.682,58,1.16,10.6,254.7793,17.0213,4.9164,0.4094
"P19",6,20.9082,2.5827,64,1.1852,9.2,254.0594,23.0769,5.2977,0.3582
"P20",2,96.5445,0.6733,206,3.1692,29.4286,434.4515,29.2683,2.7215,0.5047
"P20",3,65.357,0.5508,135,3.75,29.75,451.6593,31.7073,2.6052,0.5808
"P20",4,73.3037,0.6139,142,3.1556,28.75,486.907,29.6296,2.3263,0.3521
"P20",5,67.9896,0.7354,149,2.98,8.8,421.8262,27.0833,2.5827,0.389
"P20",6,86.865,0.6217,170,3.1481,5.2,482.84,32,2.7176,0.5254
"P20",7,72.3209,0.6361,166,3.6087,31.4,402.7494,28.866,2.4245,0.4279
"P21a",1,34.6358,1.126,80,2.0513,16.25,404.2088,34,3.0545,0.5199
"P21b",3,30.8543,1.1668,92,2.5556,16,293.7033,39.1304,4.1034,0.4703
"P21b",5,39.0841,1.2793,109,2.18,19.6,305.4165,30.1587,2.7798,0.4617
"P22",7,24.3571,1.8886,80,1.7391,4.6,190.735,39.6552,4.6909,0.5009
"P24",3,50.8465,0.708,112,3.1111,25,385.3866,20.3125,2.6362,0.5583
"P24",4,44.1989,1.0181,109,2.4222,22.75,363.7771,13.8462,2.8424,0.4793
"P24",5,63.2581,0.7904,152,3.04,21.6,379.7849,24.1758,3.0497,0.5276
"P24",6,63.4077,0.8516,152,2.8148,23.6,351.7145,22.3529,2.9571,0.5765
"P24",7,56.8604,0.809,115,2.5,21.8,447.3513,21.2121,2.7467,0.4402
"P25",1,19.8086,1.9688,63,1.6154,10.5,252.8,34.6939,4.8323,0.3553
"P25",2,35.6189,1.8249,109,1.6769,15.5714,261.9706,37.3494,5.0921,0.4279
"P25",3,24.6904,1.4581,73,2.0278,17,244.8589,47.1698,5.2361,0.4603
"P25",4,23.8238,1.8889,69,1.5333,14,281.3087,44.4444,4.9833,0.353
"P25",5,23.1576,2.1591,72,1.44,13.2,253.8361,37.7049,5.4627,0.3901
"P25",6,23.1573,2.3319,74,1.3704,13.2,256.8743,39.3443,5.623,0.3954
"P25",7,23.6072,1.9486,70,1.5217,12.6,281.33,33.3333,4.8137,0.4778
"P36a",1,26.7891,1.4558,77,1.9744,17.5,286.0558,28,3.7869,0.4683
"P36a",5,29.0216,1.7229,81,1.62,14,293.9136,25,4.1717,0.4706
"P36a",7,43.8825,1.0483,102,2.2174,19.4,337.6069,23.5294,3.9718,0.493
"P36b",3,26.0893,1.3799,51,1.4167,11.75,464.8588,12.5,4.0104,0.4461
"P36b",6,30.4378,1.7741,60,1.1111,10.2,322.3633,18.6047,3.7309,0.4849
"P7",1,18.6591,2.0901,59,1.5128,12.75,277.0068,17.0213,4.0895,0.4823
"P7",2,29.1716,2.2282,96,1.4769,13.7143,258.9021,16.1765,4.2861,0.3959
"P7",3,20.1922,1.7829,62,1.7222,14,294.9097,23.2558,4.5,0.4539
"P7",4,20.0416,2.2453,63,1.4,13.75,274.7444,29.5455,5.0168,0.4143
"P7",5,18.2429,2.7408,56,1.12,9.6,271.6018,15.9091,4.6008,0.3419
"P7",6,22.4246,2.4081,69,1.2778,12.6,275.7362,24.4898,4.2368,0.4319
"S10",1,27.0557,1.4415,73,1.8718,15.5,332.2822,14.8148,3.5648,0.3835
"S10",2,56.4271,1.1519,149,2.2923,21.2857,338.3403,18.2692,2.9741,0.3548
"S10",3,38.7511,0.929,79,2.1944,18.25,445.1848,18.6047,3.56,0.3733
"S10",4,36.5853,1.23,87,1.9333,17.75,381.4701,17.2414,2.9209,0.4644
"S10",5,30.0047,1.6664,85,1.7,15.6,307.9259,18.1818,3.9481,0.437
"S10",6,36.9185,1.4627,91,1.6852,16,362.6967,16.6667,3.5653,0.4208
"S10",7,44.5989,1.0314,111,2.413,20,364.855,21.3333,3.1015,0.4117
"S11",2,37.7847,1.7203,118,1.8154,16.8571,274.322,20,3.3206,0.4081
"S11",3,24.1236,1.4923,73,2.0278,16.5,294.1712,20.3704,3.7144,0.4805
"S11",4,26.023,1.7292,82,1.8222,17.75,280.9768,20,3.2013,0.4239
"S11",5,23.3406,2.1422,82,1.64,15,247.661,16.4179,3.6423,0.4061
"S11",6,23.9904,2.2509,90,1.6667,15.2,224.5411,21.7391,3.9233,0.4705
"S11",7,22.7077,2.0257,79,1.7174,13.8,246.0962,18.8679,3.6102,0.4333
"S13",3,24.9063,1.4454,75,2.0833,16.5,293.4347,15.873,3.5796,0.5697
"S13",4,39.6507,1.1349,105,2.3333,19.25,343.6695,17.5,3.3667,0.4635
"S13",5,46.7312,1.0699,120,2.4,11.8,353.7383,18.0851,3.3078,0.4524
"S13",6,38.8842,1.3887,107,1.9815,16,325.7262,15.7895,3.7202,0.4664
"S13",7,43.3993,1.0599,101,2.1957,19.2,392.2436,16.6667,3.6538,0.4348
"S8",1,15.2606,2.5556,61,1.5641,12.25,191.4361,25.4902,4.0811,0.4494
"S8",2,25.073,2.5924,95,1.4615,13.5714,216.2074,26.8293,4.239,0.4555
"S8",3,15.9101,2.2627,60,1.6667,14,211.8333,23.5294,4.4087,0.4005
"S8",4,18.8257,2.3903,67,1.4889,13.25,225.7731,29.0909,4.1772,0.4585
"S8",5,16.2267,3.0813,58,1.16,10.4,220.9034,21.7391,4.5811,0.3653
"S8",6,19.1757,2.8161,70,1.2963,12.4,220.1257,23.7288,4.4109,0.4268
"S8",7,19.542,2.3539,70,1.5217,12.8,225.17,28.8136,4.2579,0.3878
"S9",1,9.996,3.9016,43,1.1026,8.5,184.8023,32.3529,6.3509,0.337
"S9",2,19.5921,3.3177,70,1.0769,10,227.0557,29.3103,5.5302,0.3601
"S9",3,11.0123,3.2691,44,1.2222,10,208.2432,23.5294,6.4604,0.2927
"S9",4,12.1451,3.7052,48,1.0667,10.25,208.5958,25.641,5.8652,0.393
"S9",5,10.3624,4.8251,46,0.92,8,173.8413,25.7143,5.7608,0.3601
"S9",6,14.7607,3.6584,55,1.0185,9.2,211.4164,28.5714,5.6748,0.3454
"S9",7,14.5443,3.1628,55,1.1957,10.6,214.7236,29.2683,6.1803,0.2908
